cust,date,sales,counts,clv
1,1997-01-01,11.77,1,0.0
2,1997-01-12,77.0,2,0.0
3,1998-05-28,16.99,6,105.74416252157314
4,1997-12-12,26.48,4,73.28990190341717
5,1998-01-03,37.47,11,286.58328290549684
6,1997-01-01,20.99,1,0.0
7,1998-03-22,138.5,3,37.091544488444335
8,1998-03-29,24.46,8,135.27987115105952
9,1998-06-08,41.98,3,12.19773554349569
10,1997-01-21,39.31,1,0.0
11,1998-02-20,12.99,4,22.024237093253507
12,1997-01-01,57.06,1,0.0
13,1997-01-01,72.94,1,0.0
14,1997-01-01,29.92,1,0.0
15,1997-01-01,52.87,1,0.0
16,1997-09-10,9.99,4,58.69843030866426
17,1997-01-01,73.22,1,0.0
18,1997-01-04,14.96,1,0.0
19,1997-06-10,11.77,2,36.72674801375592
20,1997-01-18,289.41,2,22.58854170799271
21,1997-01-13,11.77,2,2.471596952153651
22,1997-01-01,14.37,1,0.0
23,1997-01-01,24.74,1,0.0
24,1998-01-20,10.49,2,0.0
25,1998-06-08,24.98,8,49.33573557213366
26,1997-01-26,59.97,2,5.515286236172123
27,1997-01-12,52.46,2,2.576451764006945
28,1997-03-08,25.74,3,35.14572693402632
29,1998-04-26,48.45,12,315.06034584010274
30,1997-02-14,13.97,2,3.411349902804812
31,1998-05-25,37.04,4,0.0
32,1998-03-11,11.88,3,3.619312353275223
33,1998-03-13,42.48,25,766.8734438365933
34,1997-01-01,23.14,1,0.0
35,1997-09-27,15.49,2,15.292719984554413
36,1997-02-03,11.77,2,3.9015257740986
37,1998-05-13,27.48,6,104.98916479933938
38,1997-01-01,12.49,1,0.0
39,1998-03-11,58.96,5,62.16236720350482
40,1998-03-08,14.42,14,203.92920788793788
41,1997-01-01,17.99,1,0.0
42,1997-01-02,11.77,2,0.5983012216995368
43,1998-05-24,14.49,5,74.66770797872229
44,1997-06-19,14.96,3,38.37662870658706
45,1997-01-01,14.37,1,0.0
46,1997-11-12,26.98,7,246.0391445642996
47,1998-06-06,12.99,21,295.01212434099
48,1998-06-13,29.48,20,441.9654220475912
49,1997-01-01,27.94,1,0.0
50,1997-01-01,6.79,1,0.0
51,1997-12-01,11.49,6,284.1244157756418
52,1998-05-08,76.98,8,204.4002162688459
53,1998-05-04,13.99,6,33.7596393082657
54,1997-01-01,33.96,1,0.0
55,1997-01-10,15.36,2,2.1965233847485903
56,1997-12-17,63.96,4,91.91947746087988
57,1997-01-01,57.86,1,0.0
58,1997-01-01,20.99,1,0.0
59,1997-01-25,10.77,3,5.28302218956129
60,1997-02-01,21.75,1,0.0
61,1997-01-01,155.65,1,0.0
62,1997-10-29,41.97,11,197.6831774592442
63,1998-05-21,24.48,4,24.633639622999674
64,1998-06-25,37.56,13,218.4506333026833
65,1998-03-22,13.99,3,0.0
66,1997-01-01,39.99,1,0.0
67,1997-01-17,11.77,3,5.173750132592324
68,1997-01-01,40.36,1,0.0
69,1997-01-04,111.77,2,3.122663141609133
70,1997-01-01,72.23,1,0.0
71,1997-01-01,13.97,1,0.0
72,1997-01-01,11.99,1,0.0
73,1997-03-16,56.46,3,39.68385957028827
74,1997-01-01,41.99,1,0.0
75,1997-01-01,69.81,1,0.0
