,date,sales,counts,clv,cust,recency,frequency,T,monetary_value
0,1997-01-01,11.77,1,0.0,1,0,0,545,11.77
1,1997-01-12,77.0,2,0.0,2,0,1,534,44.5
2,1998-05-28,16.99,6,105.74416252157314,3,511,5,544,26.07666666666667
3,1997-12-12,26.48,4,73.28990190341717,4,345,3,545,25.125000000000004
4,1998-01-03,37.47,11,286.58328290549684,5,367,10,545,35.05545454545454
5,1997-01-01,20.99,1,0.0,6,0,0,545,20.99
6,1998-03-22,138.5,3,37.091544488444335,7,445,2,545,88.22333333333334
7,1998-03-29,24.46,8,135.27987115105952,8,452,7,545,24.7075
8,1998-06-08,41.98,3,12.19773554349569,9,523,2,545,31.95
9,1997-01-21,39.31,1,0.0,10,0,0,525,39.31
10,1998-02-20,12.99,4,22.024237093253507,11,415,3,545,14.6375
11,1997-01-01,57.06,1,0.0,12,0,0,545,57.06
12,1997-01-01,72.94,1,0.0,13,0,0,545,72.94
13,1997-01-01,29.92,1,0.0,14,0,0,545,29.92
14,1997-01-01,52.87,1,0.0,15,0,0,545,52.87
15,1997-09-10,9.99,4,58.69843030866426,16,252,3,545,19.9675
16,1997-01-01,73.22,1,0.0,17,0,0,545,73.22
17,1997-01-04,14.96,1,0.0,18,0,0,542,14.96
18,1997-06-10,11.77,2,36.72674801375592,19,160,1,545,87.56
19,1997-01-18,289.41,2,22.58854170799271,20,17,1,545,326.505
20,1997-01-13,11.77,2,2.471596952153651,21,12,1,545,37.555
21,1997-01-01,14.37,1,0.0,22,0,0,545,14.37
22,1997-01-01,24.74,1,0.0,23,0,0,545,24.74
23,1998-01-20,10.49,2,0.0,24,384,1,545,28.885
24,1998-06-08,24.98,8,49.33573557213366,25,523,7,545,17.191249999999997
25,1997-01-26,59.97,2,5.515286236172123,26,25,1,545,51.345
26,1997-01-12,52.46,2,2.576451764006945,27,5,1,539,67.935
27,1997-03-08,25.74,3,35.14572693402632,28,66,2,545,30.33
28,1998-04-26,48.45,12,315.06034584010274,29,480,11,545,36.3175
29,1997-02-14,13.97,2,3.411349902804812,30,44,1,545,14.17
30,1998-05-25,37.04,4,0.0,31,509,3,545,44.2625
31,1998-03-11,11.88,3,3.619312353275223,32,434,2,545,26.07
32,1998-03-13,42.48,25,766.8734438365933,33,436,24,545,41.81880000000001
33,1997-01-01,23.14,1,0.0,34,0,0,545,23.14
34,1997-09-27,15.49,2,15.292719984554413,35,269,1,545,21.11
35,1997-02-03,11.77,2,3.9015257740986,36,33,1,545,24.84
36,1998-05-13,27.48,6,104.98916479933938,37,469,5,517,25.946666666666665
37,1997-01-01,12.49,1,0.0,38,0,0,545,12.49
38,1998-03-11,58.96,5,62.16236720350482,39,434,4,545,44.290000000000006
39,1998-03-08,14.42,14,203.92920788793788,40,431,13,545,22.78142857142857
40,1997-01-01,17.99,1,0.0,41,0,0,545,17.99
41,1997-01-02,11.77,2,0.5983012216995368,42,1,1,545,19.16
42,1998-05-24,14.49,5,74.66770797872229,43,508,4,545,23.463999999999995
43,1997-06-19,14.96,3,38.37662870658706,44,169,2,545,19.883333333333333
44,1997-01-01,14.37,1,0.0,45,0,0,545,14.37
45,1997-11-12,26.98,7,246.0391445642996,46,315,6,545,45.124285714285726
46,1998-06-06,12.99,21,295.01212434099,47,521,20,545,20.371428571428574
47,1998-06-13,29.48,20,441.9654220475912,48,528,19,545,32.49650000000001
48,1997-01-01,27.94,1,0.0,49,0,0,545,27.94
49,1997-01-01,6.79,1,0.0,50,0,0,545,6.79
50,1997-12-01,11.49,6,284.1244157756418,51,308,5,519,61.23000000000001
51,1998-05-08,76.98,8,204.4002162688459,52,491,7,544,55.71000000000001
52,1998-05-04,13.99,6,33.7596393082657,53,488,5,545,14.368333333333332
53,1997-01-01,33.96,1,0.0,54,0,0,545,33.96
54,1997-01-10,15.36,2,2.1965233847485903,55,9,1,545,40.725
55,1997-12-17,63.96,4,91.91947746087988,56,350,3,545,32.2975
56,1997-01-01,57.86,1,0.0,57,0,0,545,57.86
57,1997-01-01,20.99,1,0.0,58,0,0,545,20.99
58,1997-01-25,10.77,3,5.28302218956129,59,24,2,545,12.176666666666668
59,1997-02-01,21.75,1,0.0,60,0,0,514,21.75
60,1997-01-01,155.65,1,0.0,61,0,0,545,155.65
61,1997-10-29,41.97,11,197.6831774592442,62,301,10,545,21.55909090909091
62,1998-05-21,24.48,4,24.633639622999674,63,505,3,545,30.227500000000006
63,1998-06-25,37.56,13,218.4506333026833,64,538,12,543,28.259230769230772
64,1998-03-22,13.99,3,0.0,65,445,2,545,22.91333333333333
65,1997-01-01,39.99,1,0.0,66,0,0,545,39.99
66,1997-01-17,11.77,3,5.173750132592324,67,16,2,545,23.83
67,1997-01-01,40.36,1,0.0,68,0,0,545,40.36
68,1997-01-04,111.77,2,3.122663141609133,69,3,1,545,108.54
69,1997-01-01,72.23,1,0.0,70,0,0,545,72.23
70,1997-01-01,13.97,1,0.0,71,0,0,545,13.97
71,1997-01-01,11.99,1,0.0,72,0,0,545,11.99
72,1997-03-16,56.46,3,39.68385957028827,73,74,2,545,31.52333333333333
73,1997-01-01,41.99,1,0.0,74,0,0,545,41.99
74,1997-01-01,69.81,1,0.0,75,0,0,545,69.81
75,1997-01-01,9.99,1,0.0,76,0,0,545,9.99
76,1997-01-01,12.97,1,0.0,77,0,0,545,12.97
77,1998-04-23,53.74,2,0.0,78,465,1,533,47.63
78,1997-01-01,77.44,1,0.0,79,0,0,545,77.44
79,1997-01-01,43.46,1,0.0,80,0,0,545,43.46
80,1997-09-27,12.99,14,335.6845390744705,81,269,13,545,30.763571428571428
81,1998-04-10,40.29,6,112.80468241409388,82,464,5,545,40.466666666666654
82,1998-04-18,21.49,4,50.60842784114285,83,472,3,545,25.42
83,1997-01-01,13.97,1,0.0,84,0,0,545,13.97
84,1997-01-03,26.31,1,0.0,85,0,0,543,26.31
85,1997-01-01,23.94,1,0.0,86,0,0,545,23.94
86,1997-10-08,27.98,4,140.33152501189392,87,280,3,545,51.6375
87,1997-10-22,19.98,2,16.086122903957726,88,240,1,491,17.485
88,1998-06-10,40.99,18,378.5727615557152,89,525,17,545,31.771111111111125
89,1997-01-08,11.77,2,0.8280753958242292,90,7,1,545,12.335
90,1997-01-01,32.54,1,0.0,91,0,0,545,32.54
91,1997-04-16,17.36,2,10.33663081806986,92,105,1,545,26.67
92,1997-01-03,97.24,2,2.8178615027509815,93,2,1,545,109.665
93,1997-01-02,44.1,1,0.0,94,0,0,544,44.1
94,1998-06-24,49.43,29,748.5726568770089,95,537,28,543,52.25068965517244
95,1998-06-27,49.96,19,967.9487921176174,96,542,18,545,76.10473684210524
96,1998-03-28,23.37,4,49.749529087134526,97,451,3,545,81.1875
97,1997-05-23,30.32,2,16.759198871947163,98,142,1,545,38.23
98,1997-12-16,65.99,7,210.47578004995688,99,349,6,545,38.17857142857143
99,1998-04-20,28.98,3,12.537801725352859,100,474,2,545,18.413333333333327
100,1997-01-18,23.54,1,0.0,101,0,0,528,23.54
101,1998-03-01,105.62,4,37.0599422069894,102,424,3,545,39.3675
102,1998-04-17,29.66,3,10.031084193541716,103,424,2,498,36.83
103,1997-01-01,14.96,1,0.0,104,0,0,545,14.96
104,1997-01-01,35.31,1,0.0,105,0,0,545,35.31
105,1998-01-31,44.97,6,118.21509480680936,106,395,5,545,33.68333333333333
106,1997-01-01,21.99,1,0.0,107,0,0,545,21.99
107,1997-01-01,17.96,1,0.0,108,0,0,545,17.96
108,1997-02-02,132.57,2,9.384147167727988,109,21,1,534,102.23
109,1997-01-01,27.94,1,0.0,110,0,0,545,27.94
110,1998-06-20,55.47,16,578.5339402569052,111,535,15,545,69.19000000000001
111,1997-02-05,11.77,2,2.5370860228547016,112,35,1,545,11.77
112,1998-03-07,11.49,3,0.0,113,430,2,545,19.89
113,1998-02-11,28.98,5,44.87886393808621,114,406,4,545,24.986
114,1997-01-01,13.97,1,0.0,115,0,0,545,13.97
115,1997-01-01,12.77,1,0.0,116,0,0,545,12.77
116,1998-03-19,15.49,3,14.846721374818824,117,442,2,545,19.656666666666666
117,1997-06-24,58.49,2,18.474075029675628,118,174,1,545,36.925
